ÈÕÆÚ,Ê±¼ä,³µÁ÷Á¿,¾ÛÀà±êÇ©,Ê±¶Î
2024-04-15,16,2036,0,¸ß·å
2024-04-15,17,2141,0,¸ß·å
2024-04-15,18,1742,0,¸ß·å
2024-04-15,19,1541,2,Æ½·å
2024-04-15,20,1387,2,Æ½·å
2024-04-15,21,1047,2,Æ½·å
2024-04-15,22,591,1,µÍ·å
2024-04-15,23,464,1,µÍ·å
2024-04-16,0,292,1,µÍ·å
2024-04-16,1,200,1,µÍ·å
2024-04-16,2,136,1,µÍ·å
2024-04-16,3,112,1,µÍ·å
2024-04-16,4,127,1,µÍ·å
2024-04-16,5,299,1,µÍ·å
2024-04-16,6,1057,2,Æ½·å
2024-04-16,7,1452,2,Æ½·å
2024-04-16,8,1358,2,Æ½·å
2024-04-16,9,1451,2,Æ½·å
2024-04-16,10,1434,2,Æ½·å
2024-04-16,11,1585,2,Æ½·å
2024-04-16,12,1633,2,Æ½·å
2024-04-16,13,1639,0,¸ß·å
2024-04-16,14,1480,2,Æ½·å
2024-04-16,15,1604,2,Æ½·å
2024-04-16,16,1644,0,¸ß·å
2024-04-16,17,1433,2,Æ½·å
2024-04-16,18,1744,0,¸ß·å
2024-04-16,19,1463,2,Æ½·å
2024-04-16,20,1320,2,Æ½·å
2024-04-16,21,982,2,Æ½·å
2024-04-16,22,614,1,µÍ·å
2024-04-16,23,431,1,µÍ·å
2024-04-17,0,267,1,µÍ·å
2024-04-17,1,182,1,µÍ·å
2024-04-17,2,120,1,µÍ·å
2024-04-17,3,108,1,µÍ·å
2024-04-17,4,127,1,µÍ·å
2024-04-17,5,286,1,µÍ·å
2024-04-17,6,1103,2,Æ½·å
2024-04-17,7,1809,0,¸ß·å
2024-04-17,8,1324,2,Æ½·å
2024-04-17,9,1456,2,Æ½·å
2024-04-17,10,1411,2,Æ½·å
2024-04-17,11,1580,2,Æ½·å
2024-04-17,12,1592,2,Æ½·å
2024-04-17,13,1616,2,Æ½·å
2024-04-17,14,1448,2,Æ½·å
2024-04-17,15,1584,2,Æ½·å
2024-04-17,16,1789,0,¸ß·å
2024-04-17,17,1407,2,Æ½·å
2024-04-17,18,1705,0,¸ß·å
2024-04-17,19,1420,2,Æ½·å
2024-04-17,20,1257,2,Æ½·å
2024-04-17,21,841,2,Æ½·å
2024-04-17,22,598,1,µÍ·å
2024-04-17,23,378,1,µÍ·å
2024-04-18,0,299,1,µÍ·å
2024-04-18,1,176,1,µÍ·å
2024-04-18,2,130,1,µÍ·å
2024-04-18,3,104,1,µÍ·å
2024-04-18,4,130,1,µÍ·å
2024-04-18,5,280,1,µÍ·å
2024-04-18,6,1068,2,Æ½·å
2024-04-18,7,1564,2,Æ½·å
2024-04-18,8,1563,2,Æ½·å
2024-04-18,9,1551,2,Æ½·å
2024-04-18,10,1800,0,¸ß·å
2024-04-18,11,1627,2,Æ½·å
2024-04-18,12,1700,0,¸ß·å
2024-04-18,13,1769,0,¸ß·å
2024-04-18,14,1606,2,Æ½·å
2024-04-18,15,1736,0,¸ß·å
2024-04-18,16,2384,0,¸ß·å
2024-04-18,17,1528,2,Æ½·å
2024-04-18,18,2153,0,¸ß·å
2024-04-18,19,1966,0,¸ß·å
2024-04-18,20,1955,0,¸ß·å
2024-04-18,21,1316,2,Æ½·å
2024-04-18,22,873,2,Æ½·å
2024-04-18,23,647,1,µÍ·å
2024-04-19,0,383,1,µÍ·å
2024-04-19,1,213,1,µÍ·å
2024-04-19,2,145,1,µÍ·å
2024-04-19,3,130,1,µÍ·å
2024-04-19,4,165,1,µÍ·å
2024-04-19,5,394,1,µÍ·å
2024-04-19,6,1276,2,Æ½·å
2024-04-19,7,1703,0,¸ß·å
2024-04-19,8,1597,2,Æ½·å
2024-04-19,9,1885,0,¸ß·å
2024-04-19,10,1860,0,¸ß·å
2024-04-19,11,2040,0,¸ß·å
2024-04-19,12,2067,0,¸ß·å
2024-04-19,13,2111,0,¸ß·å
2024-04-19,14,2262,0,¸ß·å
2024-04-19,15,2395,0,¸ß·å
2024-04-19,16,1882,0,¸ß·å
2024-04-19,17,1255,2,Æ½·å
2024-04-19,18,2380,0,¸ß·å
2024-04-19,19,2102,0,¸ß·å
2024-04-19,20,1941,0,¸ß·å
2024-04-19,21,1322,2,Æ½·å
2024-04-19,22,911,2,Æ½·å
2024-04-19,23,769,1,µÍ·å
2024-04-22,0,389,1,µÍ·å
2024-04-22,1,219,1,µÍ·å
2024-04-22,2,127,1,µÍ·å
2024-04-22,3,119,1,µÍ·å
2024-04-22,4,179,1,µÍ·å
2024-04-22,5,352,1,µÍ·å
2024-04-22,6,1318,2,Æ½·å
2024-04-22,7,1282,2,Æ½·å
2024-04-22,8,1498,2,Æ½·å
2024-04-22,9,1745,0,¸ß·å
2024-04-22,10,1721,0,¸ß·å
2024-04-22,11,1925,0,¸ß·å
2024-04-22,12,1892,0,¸ß·å
2024-04-22,13,1986,0,¸ß·å
2024-04-22,14,1937,0,¸ß·å
2024-04-22,15,1987,0,¸ß·å
2024-04-22,16,1928,0,¸ß·å
2024-04-22,17,1425,2,Æ½·å
2024-04-22,18,2110,0,¸ß·å
2024-04-22,19,1807,0,¸ß·å
2024-04-22,20,1673,0,¸ß·å
2024-04-22,21,1105,2,Æ½·å
2024-04-22,22,763,1,µÍ·å
2024-04-22,23,615,1,µÍ·å
2024-04-23,0,370,1,µÍ·å
2024-04-23,1,203,1,µÍ·å
2024-04-23,2,172,1,µÍ·å
2024-04-23,3,122,1,µÍ·å
2024-04-23,4,169,1,µÍ·å
2024-04-23,5,310,1,µÍ·å
2024-04-23,6,1409,2,Æ½·å
2024-04-23,7,1396,2,Æ½·å
2024-04-23,8,1466,2,Æ½·å
2024-04-23,9,1915,0,¸ß·å
2024-04-23,10,1773,0,¸ß·å
2024-04-23,11,1916,0,¸ß·å
2024-04-23,12,1912,0,¸ß·å
2024-04-23,13,1967,0,¸ß·å
2024-04-23,14,1740,0,¸ß·å
2024-04-23,15,2092,0,¸ß·å
2024-04-23,16,1791,0,¸ß·å
2024-04-23,17,1430,2,Æ½·å
2024-04-23,18,2085,0,¸ß·å
2024-04-23,19,1915,0,¸ß·å
2024-04-23,20,1591,2,Æ½·å
2024-04-23,21,1258,2,Æ½·å
2024-04-23,22,803,1,µÍ·å
2024-04-23,23,601,1,µÍ·å
2024-04-24,0,382,1,µÍ·å
2024-04-24,1,216,1,µÍ·å
2024-04-24,2,149,1,µÍ·å
2024-04-24,3,130,1,µÍ·å
2024-04-24,4,158,1,µÍ·å
2024-04-24,5,386,1,µÍ·å
2024-04-24,6,1264,2,Æ½·å
2024-04-24,7,1579,2,Æ½·å
2024-04-24,8,1436,2,Æ½·å
2024-04-24,9,1783,0,¸ß·å
2024-04-24,10,1742,0,¸ß·å
2024-04-24,11,1934,0,¸ß·å
2024-04-24,12,1967,0,¸ß·å
2024-04-24,13,1994,0,¸ß·å
2024-04-24,14,1909,0,¸ß·å
2024-04-24,15,1954,0,¸ß·å
2024-04-24,16,1885,0,¸ß·å
2024-04-24,17,1119,2,Æ½·å
2024-04-24,18,2112,0,¸ß·å
2024-04-24,19,1911,0,¸ß·å
2024-04-24,20,1836,0,¸ß·å
2024-04-24,21,1266,2,Æ½·å
2024-04-24,22,761,1,µÍ·å
2024-04-24,23,567,1,µÍ·å
2024-04-25,0,383,1,µÍ·å
2024-04-25,1,179,1,µÍ·å
2024-04-25,2,130,1,µÍ·å
2024-04-25,3,140,1,µÍ·å
2024-04-25,4,176,1,µÍ·å
2024-04-25,5,372,1,µÍ·å
2024-04-25,6,1308,2,Æ½·å
2024-04-25,7,1488,2,Æ½·å
2024-04-25,8,1789,0,¸ß·å
2024-04-25,9,1794,0,¸ß·å
2024-04-25,10,1862,0,¸ß·å
2024-04-25,11,1879,0,¸ß·å
2024-04-25,12,1886,0,¸ß·å
2024-04-25,13,1910,0,¸ß·å
2024-04-25,14,1866,0,¸ß·å
2024-04-25,15,1945,0,¸ß·å
2024-04-25,16,1837,0,¸ß·å
2024-04-25,17,1242,2,Æ½·å
2024-04-25,18,2044,0,¸ß·å
2024-04-25,19,1786,0,¸ß·å
2024-04-25,20,1625,2,Æ½·å
2024-04-25,21,1205,2,Æ½·å
2024-04-25,22,792,1,µÍ·å
2024-04-25,23,573,1,µÍ·å
2024-04-26,0,367,1,µÍ·å
2024-04-26,1,205,1,µÍ·å
2024-04-26,2,144,1,µÍ·å
2024-04-26,3,125,1,µÍ·å
2024-04-26,4,163,1,µÍ·å
2024-04-26,5,344,1,µÍ·å
2024-04-26,6,1273,2,Æ½·å
2024-04-26,7,1506,2,Æ½·å
2024-04-26,8,1568,2,Æ½·å
2024-04-26,9,1909,0,¸ß·å
2024-04-26,10,1784,0,¸ß·å
2024-04-26,11,1866,0,¸ß·å
2024-04-26,12,1894,0,¸ß·å
2024-04-26,13,2056,0,¸ß·å
2024-04-26,14,1983,0,¸ß·å
2024-04-26,15,2252,0,¸ß·å
2024-04-26,16,1750,0,¸ß·å
2024-04-26,17,1271,2,Æ½·å
2024-04-26,18,2345,0,¸ß·å
2024-04-26,19,2012,0,¸ß·å
2024-04-26,20,2012,0,¸ß·å
2024-04-26,21,1417,2,Æ½·å
2024-04-26,22,962,2,Æ½·å
2024-04-26,23,715,1,µÍ·å
2024-04-28,0,385,1,µÍ·å
2024-04-28,1,192,1,µÍ·å
2024-04-28,2,169,1,µÍ·å
2024-04-28,3,139,1,µÍ·å
2024-04-28,4,162,1,µÍ·å
2024-04-28,5,338,1,µÍ·å
2024-04-28,6,1250,2,Æ½·å
2024-04-28,7,1582,2,Æ½·å
2024-04-28,8,1596,2,Æ½·å
2024-04-28,9,1849,0,¸ß·å
2024-04-28,10,1818,0,¸ß·å
2024-04-28,11,1992,0,¸ß·å
2024-04-28,12,1930,0,¸ß·å
2024-04-28,13,2075,0,¸ß·å
2024-04-28,14,2000,0,¸ß·å
2024-04-28,15,2004,0,¸ß·å
2024-04-28,16,1802,0,¸ß·å
2024-04-28,17,1273,2,Æ½·å
2024-04-28,18,2026,0,¸ß·å
2024-04-28,19,1863,0,¸ß·å
2024-04-28,20,1629,2,Æ½·å
2024-04-28,21,1137,2,Æ½·å
2024-04-28,22,751,1,µÍ·å
2024-04-28,23,650,1,µÍ·å
2024-04-29,0,442,1,µÍ·å
2024-04-29,1,233,1,µÍ·å
2024-04-29,2,132,1,µÍ·å
2024-04-29,3,134,1,µÍ·å
2024-04-29,4,174,1,µÍ·å
2024-04-29,5,347,1,µÍ·å
2024-04-29,6,1338,2,Æ½·å
2024-04-29,7,1330,2,Æ½·å
2024-04-29,8,1493,2,Æ½·å
2024-04-29,9,1752,0,¸ß·å
2024-04-29,10,1822,0,¸ß·å
2024-04-29,11,2055,0,¸ß·å
2024-04-29,12,1973,0,¸ß·å
2024-04-29,13,2041,0,¸ß·å
2024-04-29,14,1901,0,¸ß·å
2024-04-29,15,2084,0,¸ß·å
2024-04-29,16,1701,0,¸ß·å
2024-04-29,17,1577,2,Æ½·å
2024-04-29,18,2187,0,¸ß·å
2024-04-29,19,1952,0,¸ß·å
2024-04-29,20,1779,0,¸ß·å
2024-04-29,21,1313,2,Æ½·å
2024-04-29,22,839,2,Æ½·å
2024-04-29,23,651,1,µÍ·å
2024-04-30,0,390,1,µÍ·å
2024-04-30,1,282,1,µÍ·å
2024-04-30,2,148,1,µÍ·å
2024-04-30,3,146,1,µÍ·å
2024-04-30,4,163,1,µÍ·å
2024-04-30,5,386,1,µÍ·å
2024-04-30,6,1380,2,Æ½·å
2024-04-30,7,1427,2,Æ½·å
2024-04-30,8,1448,2,Æ½·å
2024-04-30,9,1900,0,¸ß·å
2024-04-30,10,1878,0,¸ß·å
2024-04-30,11,2104,0,¸ß·å
2024-04-30,12,2117,0,¸ß·å
2024-04-30,13,2091,0,¸ß·å
2024-04-30,14,2216,0,¸ß·å
2024-04-30,15,2192,0,¸ß·å
2024-04-30,16,1384,2,Æ½·å
2024-04-30,17,942,2,Æ½·å
2024-04-30,18,2439,0,¸ß·å
2024-04-30,19,2131,0,¸ß·å
2024-04-30,20,1884,0,¸ß·å
2024-04-30,21,1456,2,Æ½·å
2024-04-30,22,1071,2,Æ½·å
2024-04-30,23,848,2,Æ½·å
2024-05-06,0,348,1,µÍ·å
2024-05-06,1,195,1,µÍ·å
2024-05-06,2,140,1,µÍ·å
2024-05-06,3,126,1,µÍ·å
2024-05-06,4,158,1,µÍ·å
2024-05-06,5,393,1,µÍ·å
2024-05-06,6,1211,2,Æ½·å
2024-05-06,7,1430,2,Æ½·å
2024-05-06,8,1518,2,Æ½·å
2024-05-06,9,1658,0,¸ß·å
2024-05-06,10,1665,0,¸ß·å
2024-05-06,11,1758,0,¸ß·å
2024-05-06,12,1688,0,¸ß·å
2024-05-06,13,1831,0,¸ß·å
2024-05-06,14,1823,0,¸ß·å
2024-05-06,15,1854,0,¸ß·å
2024-05-06,16,2088,0,¸ß·å
2024-05-06,17,1182,2,Æ½·å
2024-05-06,18,1789,0,¸ß·å
2024-05-06,19,1660,0,¸ß·å
2024-05-06,20,1420,2,Æ½·å
2024-05-06,21,1089,2,Æ½·å
2024-05-06,22,741,1,µÍ·å
2024-05-06,23,525,1,µÍ·å
