日期,时间,车流量
2024-04-07,15,1569
2024-04-07,16,2253
2024-04-07,17,1725
2024-04-07,18,1664
2024-04-07,19,1210
2024-04-07,20,1058
2024-04-07,21,767
2024-04-07,22,525
2024-04-07,23,451
2024-04-08,0,269
2024-04-08,1,166
2024-04-08,2,119
2024-04-08,3,95
2024-04-08,4,121
2024-04-08,5,220
2024-04-08,6,1023
2024-04-08,7,1793
2024-04-08,8,1333
2024-04-08,9,1384
2024-04-08,10,1328
2024-04-08,11,1445
2024-04-08,12,1455
2024-04-08,13,1508
2024-04-08,14,1406
2024-04-08,15,1594
2024-04-08,16,1640
2024-04-08,17,1570
2024-04-08,18,1660
2024-04-08,19,1416
2024-04-08,20,1226
2024-04-08,21,868
2024-04-08,22,570
2024-04-08,23,488
2024-04-09,0,259
2024-04-09,1,147
2024-04-09,2,108
2024-04-09,3,100
2024-04-09,4,106
2024-04-09,5,267
2024-04-09,6,1014
2024-04-09,7,1580
2024-04-09,8,1359
2024-04-09,9,1383
2024-04-09,10,1542
2024-04-09,11,1559
2024-04-09,12,1531
2024-04-09,13,1571
2024-04-09,14,1551
2024-04-09,15,1615
2024-04-09,16,1952
2024-04-09,17,1585
2024-04-09,18,1657
2024-04-09,19,1428
2024-04-09,20,1368
2024-04-09,21,957
2024-04-09,22,596
2024-04-09,23,458
2024-04-10,0,268
2024-04-10,1,171
2024-04-10,2,124
2024-04-10,3,98
2024-04-10,4,116
2024-04-10,5,272
2024-04-10,6,1003
2024-04-10,7,1642
2024-04-10,8,1401
2024-04-10,9,1456
2024-04-10,10,1643
2024-04-10,11,1650
2024-04-10,12,1621
2024-04-10,13,1694
2024-04-10,14,1478
2024-04-10,15,1595
2024-04-10,16,1985
2024-04-10,17,2328
2024-04-10,18,1824
2024-04-10,19,1551
2024-04-10,20,1390
2024-04-10,21,959
2024-04-10,22,583
2024-04-10,23,444
2024-04-11,0,283
2024-04-11,1,153
2024-04-11,2,116
2024-04-11,3,79
2024-04-11,4,122
2024-04-11,5,246
2024-04-11,6,999
2024-04-11,7,1448
2024-04-11,8,1321
2024-04-11,9,1460
2024-04-11,10,1405
2024-04-11,11,1556
2024-04-11,12,1484
2024-04-11,13,1394
2024-04-11,14,1433
2024-04-11,15,1571
2024-04-11,16,1517
2024-04-11,17,1362
2024-04-11,18,1719
2024-04-11,19,1560
2024-04-11,20,1398
2024-04-11,21,976
2024-04-11,22,634
2024-04-11,23,456
2024-04-12,0,283
2024-04-12,1,153
2024-04-12,2,127
2024-04-12,3,119
2024-04-12,4,124
2024-04-12,5,286
2024-04-12,6,979
2024-04-12,7,1774
2024-04-12,8,1346
2024-04-12,9,1559
2024-04-12,10,1449
2024-04-12,11,1600
2024-04-12,12,1571
2024-04-12,13,1690
2024-04-12,14,1691
2024-04-12,15,1823
2024-04-12,16,1822
2024-04-12,17,1582
2024-04-12,18,1967
2024-04-12,19,1712
2024-04-12,20,1579
2024-04-12,21,1161
2024-04-12,22,751
2024-04-12,23,603
2024-04-15,0,315
2024-04-15,1,172
2024-04-15,2,113
2024-04-15,3,93
2024-04-15,4,116
2024-04-15,5,312
2024-04-15,6,1047
2024-04-15,7,1449
2024-04-15,8,1241
2024-04-15,9,1529
2024-04-15,10,1486
2024-04-15,11,1624
2024-04-15,12,1502
2024-04-15,13,1666
2024-04-15,14,1613
2024-04-15,15,1571
2024-04-15,16,2036
2024-04-15,17,2141
2024-04-15,18,1742
2024-04-15,19,1541
2024-04-15,20,1387
2024-04-15,21,1047
2024-04-15,22,591
2024-04-15,23,464
2024-04-16,0,292
2024-04-16,1,200
2024-04-16,2,136
2024-04-16,3,112
2024-04-16,4,127
2024-04-16,5,299
2024-04-16,6,1057
2024-04-16,7,1452
2024-04-16,8,1358
2024-04-16,9,1451
2024-04-16,10,1434
2024-04-16,11,1585
2024-04-16,12,1633
2024-04-16,13,1639
2024-04-16,14,1480
2024-04-16,15,1604
2024-04-16,16,1644
2024-04-16,17,1433
2024-04-16,18,1744
2024-04-16,19,1463
2024-04-16,20,1320
2024-04-16,21,982
2024-04-16,22,614
2024-04-16,23,431
2024-04-17,0,267
2024-04-17,1,182
2024-04-17,2,120
2024-04-17,3,108
2024-04-17,4,127
2024-04-17,5,286
2024-04-17,6,1103
2024-04-17,7,1809
2024-04-17,8,1324
2024-04-17,9,1456
2024-04-17,10,1411
2024-04-17,11,1580
2024-04-17,12,1592
2024-04-17,13,1616
2024-04-17,14,1448
2024-04-17,15,1584
2024-04-17,16,1789
2024-04-17,17,1407
2024-04-17,18,1705
2024-04-17,19,1420
2024-04-17,20,1257
2024-04-17,21,841
2024-04-17,22,598
2024-04-17,23,378
2024-04-18,0,299
2024-04-18,1,176
2024-04-18,2,130
2024-04-18,3,104
2024-04-18,4,130
2024-04-18,5,280
2024-04-18,6,1068
2024-04-18,7,1564
2024-04-18,8,1563
2024-04-18,9,1551
2024-04-18,10,1800
2024-04-18,11,1627
2024-04-18,12,1700
2024-04-18,13,1769
2024-04-18,14,1606
2024-04-18,15,1736
2024-04-18,16,2384
2024-04-18,17,1528
2024-04-18,18,2153
2024-04-18,19,1966
2024-04-18,20,1955
2024-04-18,21,1316
2024-04-18,22,873
2024-04-18,23,647
2024-04-19,0,383
2024-04-19,1,213
2024-04-19,2,145
2024-04-19,3,130
2024-04-19,4,165
2024-04-19,5,394
2024-04-19,6,1276
2024-04-19,7,1703
2024-04-19,8,1597
2024-04-19,9,1885
2024-04-19,10,1860
2024-04-19,11,2040
2024-04-19,12,2067
2024-04-19,13,2111
2024-04-19,14,2262
2024-04-19,15,2395
2024-04-19,16,1882
2024-04-19,17,1255
2024-04-19,18,2380
2024-04-19,19,2102
2024-04-19,20,1941
2024-04-19,21,1322
2024-04-19,22,911
2024-04-19,23,769
2024-04-22,0,389
2024-04-22,1,219
2024-04-22,2,127
2024-04-22,3,119
2024-04-22,4,179
2024-04-22,5,352
2024-04-22,6,1318
2024-04-22,7,1282
2024-04-22,8,1498
2024-04-22,9,1745
2024-04-22,10,1721
2024-04-22,11,1925
2024-04-22,12,1892
2024-04-22,13,1986
2024-04-22,14,1937
2024-04-22,15,1987
2024-04-22,16,1928
2024-04-22,17,1425
2024-04-22,18,2110
2024-04-22,19,1807
2024-04-22,20,1673
2024-04-22,21,1105
2024-04-22,22,763
2024-04-22,23,615
2024-04-23,0,370
2024-04-23,1,203
2024-04-23,2,172
2024-04-23,3,122
2024-04-23,4,169
2024-04-23,5,310
2024-04-23,6,1409
2024-04-23,7,1396
2024-04-23,8,1466
2024-04-23,9,1915
2024-04-23,10,1773
2024-04-23,11,1916
2024-04-23,12,1912
2024-04-23,13,1967
2024-04-23,14,1740
2024-04-23,15,2092
2024-04-23,16,1791
2024-04-23,17,1430
2024-04-23,18,2085
2024-04-23,19,1915
2024-04-23,20,1591
2024-04-23,21,1258
2024-04-23,22,803
2024-04-23,23,601
2024-04-24,0,382
2024-04-24,1,216
2024-04-24,2,149
2024-04-24,3,130
2024-04-24,4,158
2024-04-24,5,386
2024-04-24,6,1264
2024-04-24,7,1579
2024-04-24,8,1436
2024-04-24,9,1783
2024-04-24,10,1742
2024-04-24,11,1934
2024-04-24,12,1967
2024-04-24,13,1994
2024-04-24,14,1909
2024-04-24,15,1954
2024-04-24,16,1885
2024-04-24,17,1119
2024-04-24,18,2112
2024-04-24,19,1911
2024-04-24,20,1836
2024-04-24,21,1266
2024-04-24,22,761
2024-04-24,23,567
2024-04-25,0,383
2024-04-25,1,179
2024-04-25,2,130
2024-04-25,3,140
2024-04-25,4,176
2024-04-25,5,372
2024-04-25,6,1308
2024-04-25,7,1488
2024-04-25,8,1789
2024-04-25,9,1794
2024-04-25,10,1862
2024-04-25,11,1879
2024-04-25,12,1886
2024-04-25,13,1910
2024-04-25,14,1866
2024-04-25,15,1945
2024-04-25,16,1837
2024-04-25,17,1242
2024-04-25,18,2044
2024-04-25,19,1786
2024-04-25,20,1625
2024-04-25,21,1205
2024-04-25,22,792
2024-04-25,23,573
2024-04-26,0,367
2024-04-26,1,205
2024-04-26,2,144
2024-04-26,3,125
2024-04-26,4,163
2024-04-26,5,344
2024-04-26,6,1273
2024-04-26,7,1506
2024-04-26,8,1568
2024-04-26,9,1909
2024-04-26,10,1784
2024-04-26,11,1866
2024-04-26,12,1894
2024-04-26,13,2056
2024-04-26,14,1983
2024-04-26,15,2252
2024-04-26,16,1750
2024-04-26,17,1271
2024-04-26,18,2345
2024-04-26,19,2012
2024-04-26,20,2012
2024-04-26,21,1417
2024-04-26,22,962
2024-04-26,23,715
2024-04-28,0,385
2024-04-28,1,192
2024-04-28,2,169
2024-04-28,3,139
2024-04-28,4,162
2024-04-28,5,338
2024-04-28,6,1250
2024-04-28,7,1582
2024-04-28,8,1596
2024-04-28,9,1849
2024-04-28,10,1818
2024-04-28,11,1992
2024-04-28,12,1930
2024-04-28,13,2075
2024-04-28,14,2000
2024-04-28,15,2004
2024-04-28,16,1802
2024-04-28,17,1273
2024-04-28,18,2026
2024-04-28,19,1863
2024-04-28,20,1629
2024-04-28,21,1137
2024-04-28,22,751
2024-04-28,23,650
2024-04-29,0,442
2024-04-29,1,233
2024-04-29,2,132
2024-04-29,3,134
2024-04-29,4,174
2024-04-29,5,347
2024-04-29,6,1338
2024-04-29,7,1330
2024-04-29,8,1493
2024-04-29,9,1752
2024-04-29,10,1822
2024-04-29,11,2055
2024-04-29,12,1973
2024-04-29,13,2041
2024-04-29,14,1901
2024-04-29,15,2084
2024-04-29,16,1701
2024-04-29,17,1577
2024-04-29,18,2187
2024-04-29,19,1952
2024-04-29,20,1779
2024-04-29,21,1313
2024-04-29,22,839
2024-04-29,23,651
2024-04-30,0,390
2024-04-30,1,282
2024-04-30,2,148
2024-04-30,3,146
2024-04-30,4,163
2024-04-30,5,386
2024-04-30,6,1380
2024-04-30,7,1427
2024-04-30,8,1448
2024-04-30,9,1900
2024-04-30,10,1878
2024-04-30,11,2104
2024-04-30,12,2117
2024-04-30,13,2091
2024-04-30,14,2216
2024-04-30,15,2192
2024-04-30,16,1384
2024-04-30,17,942
2024-04-30,18,2439
2024-04-30,19,2131
2024-04-30,20,1884
2024-04-30,21,1456
2024-04-30,22,1071
2024-04-30,23,848
2024-05-06,0,348
2024-05-06,1,195
2024-05-06,2,140
2024-05-06,3,126
2024-05-06,4,158
2024-05-06,5,393
2024-05-06,6,1211
2024-05-06,7,1430
2024-05-06,8,1518
2024-05-06,9,1658
2024-05-06,10,1665
2024-05-06,11,1758
2024-05-06,12,1688
2024-05-06,13,1831
2024-05-06,14,1823
2024-05-06,15,1854
2024-05-06,16,2088
2024-05-06,17,1182
2024-05-06,18,1789
2024-05-06,19,1660
2024-05-06,20,1420
2024-05-06,21,1089
2024-05-06,22,741
2024-05-06,23,525
